gene,X.x,celltype.x,p_val.x,Sgp_avg_log2FC,Sgp130 pct,WT pct,p_val_adj.x,X.y,p_val.y,Human_avg_log2FC.y,Liver met pct,normal liver pct,p_val_adj.y,label
CNIH4,Cnih4,Macrophage,2.15E-16,-0.261684419,0.397,0.543,4.98E-12,CNIH4,8.36E-64,1.067325708,0.489,0.207,2.06E-59,good
CORO2A,Coro2a,Macrophage,8.01E-12,-0.394646762,0.169,0.257,1.85E-07,CORO2A,6.68E-22,1.878597057,0.081,0.013,1.65E-17,good
COX7A2,Cox7a2,Macrophage,1.20E-27,-0.356195642,0.695,0.877,2.77E-23,COX7A2,2.10E-10,0.208861596,0.866,0.716,5.19E-06,good
COX7C,Cox7c,Macrophage,6.78E-18,-0.226025873,0.773,0.922,1.57E-13,COX7C,1.79E-18,-0.112062093,0.927,0.912,4.42E-14,bad
CPD,Cpd,Macrophage,8.60E-07,0.57984485,0.435,0.401,0.019922895,CPD,2.51E-92,1.939654629,0.379,0.091,6.19E-88,bad
CREB5,Creb5,Macrophage,2.26E-07,0.45928976,0.542,0.515,0.005231145,CREB5,5.19E-15,-0.83220826,0.244,0.322,1.28E-10,good
CRELD2,Creld2,Macrophage,3.03E-11,-0.591610632,0.127,0.202,7.02E-07,CRELD2,1.67E-19,0.581939138,0.318,0.172,4.11E-15,good
CRIP1,Crip1,Macrophage,6.93E-34,-0.600660961,0.805,0.903,1.60E-29,CRIP1,2.31E-58,0.613709793,0.782,0.495,5.69E-54,good
CSF2RB,Csf2rb,Macrophage,2.21E-35,-0.636227639,0.528,0.724,5.12E-31,CSF2RB,4.69E-08,0.374283662,0.195,0.123,0.001156873,good
CTSD,Ctsd,Macrophage,1.95E-09,-0.189178258,0.839,0.935,4.52E-05,CTSD,2.76E-141,0.750389584,0.911,0.645,6.81E-137,good
CTSS,Ctss,Macrophage,8.59E-33,0.403033659,0.942,0.944,1.99E-28,CTSS,8.94E-42,-0.121611665,0.944,0.917,2.20E-37,good
CUX1,Cux1,Macrophage,4.48E-08,-0.13722744,0.597,0.73,0.00103779,CUX1,9.92E-15,0.338533674,0.536,0.354,2.45E-10,good
CX3CR1,Cx3cr1,Macrophage,4.34E-22,0.710395953,0.363,0.234,1.01E-17,CX3CR1,1.02E-93,-3.250804267,0.032,0.232,2.51E-89,good
CXCL16,Cxcl16,Macrophage,1.66E-40,0.985817093,0.508,0.332,3.85E-36,CXCL16,2.93E-22,-0.191880104,0.828,0.807,7.22E-18,good
DAD1,Dad1,Macrophage,8.01E-15,-0.15987527,0.545,0.698,1.85E-10,DAD1,5.01E-10,0.243629852,0.782,0.639,1.24E-05,good
DDIT3,Ddit3,Macrophage,5.41E-10,-0.437754653,0.173,0.251,1.25E-05,DDIT3,1.43E-08,0.296008522,0.303,0.204,0.000353495,good
DDIT4,Ddit4,Macrophage,3.90E-07,-0.155040352,0.16,0.225,0.009019229,DDIT4,4.38E-87,-0.792658247,0.571,0.75,1.08E-82,bad
DENND4A,Dennd4a,Macrophage,4.99E-43,0.927602202,0.724,0.649,1.15E-38,DENND4A,1.25E-09,0.278724316,0.261,0.167,3.09E-05,bad
DENR,Denr,Macrophage,6.44E-16,-0.340578161,0.25,0.367,1.49E-11,DENR,6.59E-08,0.145276576,0.395,0.268,0.001624665,good
DERL2,Derl2,Macrophage,7.00E-12,-0.214230716,0.203,0.297,1.62E-07,DERL2,8.10E-12,0.293756525,0.355,0.224,2.00E-07,good
DHRS3,Dhrs3,Macrophage,1.88E-09,-0.227046682,0.315,0.413,4.35E-05,DHRS3,2.39E-40,0.97045776,0.374,0.165,5.89E-36,good
DIAPH1,Diaph1,Macrophage,6.48E-37,-0.500481652,0.593,0.819,1.50E-32,DIAPH1,5.35E-18,0.449438199,0.416,0.25,1.32E-13,good
DOCK4,Dock4,Macrophage,8.54E-15,0.497550925,0.642,0.596,1.98E-10,DOCK4,5.50E-41,0.903145771,0.383,0.167,1.36E-36,bad
DPH3,Dph3,Macrophage,8.18E-10,-0.158958959,0.244,0.328,1.89E-05,DPH3,1.37E-07,0.17178447,0.368,0.254,0.003390555,good
DST,Dst,Macrophage,1.46E-18,1.150620644,0.245,0.142,3.38E-14,DST,9.18E-25,-1.269685289,0.169,0.277,2.26E-20,good
DSTN,Dstn,Macrophage,7.14E-18,-0.347842555,0.515,0.672,1.65E-13,DSTN,9.11E-17,0.389774427,0.463,0.286,2.25E-12,good
DUSP2,Dusp2,Macrophage,1.74E-20,1.112560727,0.3,0.186,4.03E-16,DUSP2,1.04E-08,-0.313974809,0.601,0.589,0.000255648,good
EDNRB,Ednrb,Macrophage,7.19E-19,-0.920234134,0.084,0.181,1.66E-14,EDNRB,1.10E-12,2.461101941,0.049,0.009,2.70E-08,good
EGLN3,Egln3,Macrophage,4.45E-49,-0.759231,0.286,0.531,1.03E-44,EGLN3,1.77E-33,2.3077643,0.117,0.016,4.36E-29,good
EHD4,Ehd4,Macrophage,7.36E-08,0.657741163,0.433,0.387,0.001704099,EHD4,1.48E-23,0.711076922,0.346,0.186,3.66E-19,bad
EIF1,Eif1,Macrophage,2.18E-51,-0.416772511,0.955,0.996,5.04E-47,EIF1,9.80E-53,-0.166186286,0.996,0.996,2.42E-48,bad
EIF5A,Eif5a,Macrophage,3.32E-08,0.397889601,0.711,0.741,0.000768256,EIF5A,3.80E-08,0.238085978,0.751,0.584,0.000937884,bad
ELMO1,Elmo1,Macrophage,9.83E-23,0.780827053,0.58,0.504,2.28E-18,ELMO1,1.05E-60,-1.145895931,0.325,0.508,2.58E-56,good
EMILIN2,Emilin2,Macrophage,1.27E-42,-0.532612783,0.6,0.829,2.94E-38,EMILIN2,1.03E-15,0.322773209,0.619,0.413,2.53E-11,good
EMP1,Emp1,Macrophage,9.59E-42,-0.604498722,0.404,0.654,2.22E-37,EMP1,6.73E-96,2.189112674,0.343,0.063,1.66E-91,good
EPB41L2,Epb41l2,Macrophage,1.24E-06,0.323240475,0.701,0.743,0.028815289,EPB41L2,2.54E-09,-0.810393271,0.196,0.249,6.26E-05,good
EPS8,Eps8,Macrophage,5.32E-28,-0.473215742,0.519,0.712,1.23E-23,EPS8,1.18E-65,-2.129243457,0.103,0.292,2.92E-61,bad
ERGIC1,Ergic1,Macrophage,8.59E-08,-0.202787182,0.203,0.274,0.001988492,ERGIC1,2.93E-59,0.932644435,0.538,0.251,7.23E-55,good
EZR,Ezr,Macrophage,7.47E-08,-0.116399162,0.402,0.508,0.001729235,EZR,1.10E-11,0.240207432,0.687,0.512,2.72E-07,good
FABP5,Fabp5,Macrophage,3.44E-16,-0.696878542,0.384,0.508,7.97E-12,FABP5,1.78E-20,0.390046727,0.682,0.47,4.40E-16,good
FAM114A1,Fam114a1,Macrophage,8.03E-11,-0.619100259,0.131,0.206,1.86E-06,FAM114A1,2.03E-08,0.575477027,0.106,0.055,0.000499682,good
FCRLB,Fcrlb,Macrophage,1.19E-07,-0.872017281,0.061,0.106,0.002745557,FCRLB,1.02E-07,0.505611004,0.081,0.038,0.002508794,good
FILIP1L,Filip1l,Macrophage,1.10E-08,-0.178003739,0.335,0.435,0.000254857,FILIP1L,1.11E-67,-1.478185756,0.207,0.422,2.75E-63,bad
FLNA,Flna,Macrophage,8.96E-11,-0.215917768,0.473,0.599,2.07E-06,FLNA,3.81E-107,0.93537934,0.793,0.404,9.41E-103,good
FLOT1,Flot1,Macrophage,3.32E-13,-0.40229727,0.247,0.35,7.68E-09,FLOT1,4.01E-45,0.573190775,0.777,0.518,9.89E-41,good
FMNL2,Fmnl2,Macrophage,4.47E-14,-0.319405704,0.483,0.627,1.04E-09,FMNL2,8.29E-19,0.520181433,0.287,0.152,2.04E-14,good
FN1,Fn1,Macrophage,2.26E-17,-0.424673656,0.567,0.695,5.24E-13,FN1,1.96E-182,5.760700839,0.397,0.009,4.84E-178,good
FNDC3A,Fndc3a,Macrophage,4.94E-35,-0.542835097,0.639,0.826,1.14E-30,FNDC3A,1.13E-57,1.022045168,0.489,0.217,2.78E-53,good
FOS,Fos,Macrophage,2.81E-28,0.55741758,0.794,0.726,6.51E-24,FOS,1.79E-124,-0.468981099,0.868,0.942,4.42E-120,good
FOSB,Fosb,Macrophage,2.11E-20,0.971136115,0.469,0.373,4.90E-16,FOSB,6.37E-11,0.248116029,0.832,0.634,1.57E-06,bad
FRMD4B,Frmd4b,Macrophage,8.13E-26,1.098608414,0.318,0.183,1.88E-21,FRMD4B,3.03E-53,-1.117896574,0.305,0.469,7.48E-49,good
FURIN,Furin,Macrophage,9.50E-23,-0.484319657,0.475,0.64,2.20E-18,FURIN,3.87E-61,1.662404585,0.285,0.071,9.55E-57,good
G0S2,G0s2,Macrophage,2.98E-55,3.246244622,0.218,0.056,6.89E-51,G0S2,1.56E-33,0.659729133,0.508,0.295,3.84E-29,bad
GALNT6,Galnt6,Macrophage,1.05E-12,-0.393111539,0.173,0.263,2.43E-08,GALNT6,2.42E-11,0.441459139,0.182,0.099,5.97E-07,good
GBE1,Gbe1,Macrophage,1.71E-08,-0.328540156,0.21,0.291,0.000394901,GBE1,8.13E-31,1.071053791,0.261,0.11,2.00E-26,good
GNG2,Gng2,Macrophage,3.75E-09,-0.102652427,0.455,0.582,8.69E-05,GNG2,1.69E-22,-0.970820817,0.214,0.323,4.17E-18,bad
GOLGA4,Golga4,Macrophage,1.56E-11,-0.297620855,0.258,0.354,3.60E-07,GOLGA4,1.88E-07,0.150384954,0.461,0.325,0.004645032,good
GPNMB,Gpnmb,Macrophage,4.91E-25,-1.36235177,0.091,0.205,1.14E-20,GPNMB,1.28E-202,2.107922139,0.65,0.171,3.15E-198,good
GPR35,Gpr35,Macrophage,2.02E-07,-0.283099493,0.229,0.3,0.004666057,GPR35,1.43E-16,0.734229296,0.214,0.111,3.53E-12,good
GPR65,Gpr65,Macrophage,3.96E-07,0.597876469,0.302,0.235,0.009169809,GPR65,3.95E-09,-0.616185205,0.278,0.325,9.74E-05,good
GRAMD1B,Gramd1b,Macrophage,5.74E-10,-0.599680262,0.169,0.249,1.33E-05,GRAMD1B,8.19E-07,0.884016502,0.06,0.027,0.020207652,good
GSN,Gsn,Macrophage,1.26E-29,-0.390259525,0.485,0.694,2.91E-25,GSN,1.27E-08,-0.143466517,0.715,0.713,0.000312058,bad
GSR,Gsr,Macrophage,2.07E-15,-0.236164433,0.45,0.625,4.79E-11,GSR,2.77E-14,0.426543835,0.198,0.102,6.83E-10,good
H3F3A,H3f3a,Macrophage,2.20E-10,0.17812034,0.967,0.986,5.09E-06,H3F3A,1.34E-31,-0.130713489,0.992,0.99,3.31E-27,good
HAUS8,Haus8,Macrophage,1.19E-06,-0.361854785,0.124,0.177,0.02755249,HAUS8,1.10E-06,0.42438942,0.105,0.06,0.0270414,good
HCFC1R1,Hcfc1r1,Macrophage,7.56E-12,-0.189188376,0.377,0.488,1.75E-07,HCFC1R1,4.79E-34,0.623470708,0.533,0.297,1.18E-29,good
HDLBP,Hdlbp,Macrophage,8.12E-18,-0.26865471,0.457,0.607,1.88E-13,HDLBP,6.82E-09,0.271071179,0.601,0.436,0.000168217,good
HEBP1,Hebp1,Macrophage,1.17E-06,1.043307738,0.129,0.082,0.027175066,HEBP1,2.17E-07,-0.402380627,0.445,0.443,0.005351234,good
HERPUD1,Herpud1,Macrophage,4.03E-11,0.999973184,0.318,0.243,9.33E-07,HERPUD1,8.61E-89,-0.539976214,0.763,0.855,2.12E-84,good
HILPDA,Hilpda,Macrophage,1.32E-28,-0.53616938,0.59,0.739,3.05E-24,HILPDA,9.73E-07,0.943116351,0.083,0.044,0.023996624,good
HIPK2,Hipk2,Macrophage,9.81E-10,-0.218968577,0.354,0.459,2.27E-05,HIPK2,9.16E-32,0.845250885,0.331,0.154,2.26E-27,good
HK2,Hk2,Macrophage,1.93E-36,-0.563766768,0.398,0.605,4.47E-32,HK2,5.03E-65,1.904181887,0.303,0.081,1.24E-60,good
HMGN1,Hmgn1,Macrophage,4.37E-14,1.132661863,0.248,0.16,1.01E-09,HMGN1,2.72E-20,-0.249797881,0.74,0.724,6.71E-16,good
HNRNPA2B1,Hnrnpa2b1,Macrophage,8.33E-25,0.661738014,0.697,0.667,1.93E-20,HNRNPA2B1,3.62E-58,-0.206644536,0.927,0.925,8.92E-54,good
HPGD,Hpgd,Macrophage,3.11E-17,2.339452041,0.073,0.018,7.20E-13,HPGD,7.05E-12,1.009381178,0.082,0.03,1.74E-07,bad
HSPA1B,Hspa1b,Macrophage,2.17E-20,0.168362466,0.557,0.399,5.03E-16,HSPA1B,4.80E-88,-0.765199402,0.558,0.731,1.18E-83,good
HSPA9,Hspa9,Macrophage,5.85E-07,-0.126660112,0.312,0.39,0.013551228,HSPA9,4.50E-10,0.279416527,0.632,0.458,1.11E-05,good
ID2,Id2,Macrophage,7.64E-18,-0.484582113,0.579,0.716,1.77E-13,ID2,4.36E-22,-0.336300696,0.69,0.695,1.08E-17,bad
IER3IP1,Ier3ip1,Macrophage,4.01E-43,-0.536438742,0.482,0.705,9.29E-39,IER3IP1,1.74E-08,0.236711728,0.47,0.329,0.000430127,good
IFITM1,Ifitm1,Macrophage,1.56E-07,0.3874639,0.448,0.39,0.003606308,IFITM1,3.47E-11,-0.726449054,0.241,0.31,8.56E-07,good
IFITM2,Ifitm2,Macrophage,1.08E-10,0.256478225,0.896,0.89,2.49E-06,IFITM2,6.60E-105,-0.57291992,0.77,0.889,1.63E-100,good
IL13RA1,Il13ra1,Macrophage,2.71E-15,-0.338998025,0.35,0.48,6.27E-11,IL13RA1,1.75E-36,-0.50278764,0.596,0.652,4.33E-32,bad
IL1B,Il1b,Macrophage,2.51E-29,0.443918797,0.898,0.787,5.82E-25,IL1B,5.26E-26,-0.495881111,0.506,0.631,1.30E-21,good
IL7R,Il7r,Macrophage,1.16E-29,-1.050894772,0.218,0.376,2.69E-25,IL7R,1.14E-46,1.199596719,0.25,0.069,2.80E-42,good
IMMT,Immt,Macrophage,2.45E-08,-0.136944454,0.248,0.332,0.000566884,IMMT,1.29E-06,0.167666345,0.391,0.274,0.031762625,good
INHBA,Inhba,Macrophage,1.85E-18,-0.688846738,0.191,0.319,4.27E-14,INHBA,9.56E-77,2.617370531,0.26,0.039,2.36E-72,good
IQSEC1,Iqsec1,Macrophage,4.80E-24,-0.564946996,0.217,0.369,1.11E-19,IQSEC1,5.62E-17,0.535415893,0.231,0.118,1.39E-12,good
IRF2,Irf2,Macrophage,9.72E-09,-0.109428307,0.469,0.577,0.000225033,IRF2,1.99E-09,-0.569552068,0.312,0.352,4.91E-05,bad
ITCH,Itch,Macrophage,3.29E-08,-0.107981274,0.346,0.445,0.00076191,ITCH,4.84E-09,0.18507856,0.289,0.184,0.000119313,good
ITGA4,Itga4,Macrophage,5.67E-11,0.960223166,0.306,0.23,1.31E-06,ITGA4,1.34E-91,-1.115131775,0.411,0.612,3.31E-87,good
ITGAM,Itgam,Macrophage,2.30E-07,-0.115308941,0.749,0.907,0.005331868,ITGAM,2.24E-37,0.72671312,0.468,0.239,5.52E-33,good
ITM2B,Itm2b,Macrophage,1.50E-45,0.607593485,0.892,0.894,3.47E-41,ITM2B,2.43E-112,-0.278897065,0.963,0.974,5.99E-108,good
JARID2,Jarid2,Macrophage,7.02E-08,-0.205355098,0.664,0.79,0.001624297,JARID2,4.29E-22,0.621443919,0.349,0.193,1.06E-17,good
JUNB,Junb,Macrophage,1.29E-51,0.630209251,0.867,0.823,2.99E-47,JUNB,3.79E-76,-0.372864643,0.857,0.907,9.35E-72,good
KDM5B,Kdm5b,Macrophage,8.88E-15,-0.579380259,0.189,0.29,2.05E-10,KDM5B,1.06E-11,0.562327532,0.157,0.081,2.62E-07,good
KDM6B,Kdm6b,Macrophage,9.26E-18,0.879881346,0.538,0.491,2.14E-13,KDM6B,1.74E-09,0.201705142,0.72,0.529,4.29E-05,bad
KMT2E,Kmt2e,Macrophage,8.47E-15,-0.259403403,0.508,0.665,1.96E-10,KMT2E,1.61E-07,-0.233711226,0.62,0.591,0.003980058,bad
LACC1,Lacc1,Macrophage,2.96E-09,0.784137605,0.292,0.217,6.85E-05,LACC1,3.26E-14,0.716368102,0.165,0.08,8.05E-10,bad
LAMC1,Lamc1,Macrophage,1.11E-19,-0.718993374,0.216,0.342,2.56E-15,LAMC1,6.85E-09,2.753595196,0.025,0.002,0.000168976,good
LASP1,Lasp1,Macrophage,3.87E-11,-0.23995733,0.345,0.449,8.95E-07,LASP1,1.00E-08,0.236121205,0.436,0.3,0.000247539,good
LGALS3,Lgals3,Macrophage,1.76E-112,-0.871682246,0.902,0.984,4.08E-108,LGALS3,2.96E-14,0.23973885,0.935,0.806,7.30E-10,good
LGMN,Lgmn,Macrophage,7.96E-56,0.708334299,0.842,0.832,1.84E-51,LGMN,2.85E-15,0.349844906,0.59,0.406,7.03E-11,bad
LHFPL2,Lhfpl2,Macrophage,5.68E-09,-0.493207888,0.176,0.252,0.000131602,LHFPL2,2.70E-81,1.621090324,0.396,0.114,6.67E-77,good
LIMD2,Limd2,Macrophage,6.74E-11,1.237728547,0.217,0.144,1.56E-06,LIMD2,9.87E-151,-1.165524797,0.477,0.75,2.43E-146,good
LLPH,Llph,Macrophage,1.90E-27,-0.377139251,0.415,0.593,4.39E-23,LLPH,4.91E-09,0.184392624,0.306,0.2,0.000121007,good
LMNA,Lmna,Macrophage,1.26E-06,-0.138288422,0.435,0.53,0.029155445,LMNA,8.10E-57,0.80511654,0.59,0.285,2.00E-52,good
LPP,Lpp,Macrophage,1.99E-12,-0.205570264,0.583,0.739,4.61E-08,LPP,6.46E-07,0.136645446,0.382,0.269,0.015919426,good
